Hat Adı;Ocak;Şubat;Mart;Nisan;Mayıs;Haziran;Temmuz;Ağustos;Eylül;Ekim;Kasım;Aralık
M1 Yenikapı - Atatürk Havalimanı - Kirazlı;12672664;11858209;13666754;12739273;11975235;11491621;11835554;10951303;12521786;13503198;13181093;13077623
M2 Yenikapı - Hacıosman;12667990;12335048;14096273;14116730;13327726;11038438;12398542;10798421;13405833;15734674;15343155;15758262
M3 Kirazlı - Olimpiyatköy - Başakşehir;1888377;1800464;2052016;1978567;2018547;1735904;1961692;1688545;1965097;2200519;2182766;2200885
M4 Kadıköy - Tavşantepe;8235695;7501347;8371854;7540661;7012660;6267853;6458138;5619020;7030438;8182586;8139020;8263123
M5 Üsküdar - Çekmeköy;4847065;4724042;5624058;5424559;5289731;5004444;5294977;4531830;5543827;6674127;6721654;6841077
M6 Levent - Boğaziçi Ü./Hisarüstü;427178;492783;556271;536731;525911;371003;434076;325698;498858;637935;614781;649768
T1 Kabataş - Bağcılar;10572269;10262520;12174959;12518363;11643985;11082000;11993338;11470461;12128853;13260586;12334881;12125708
T3 Kadıköy - Moda;86446;83644;94246;95120;95855;88138;90815;83773;95066;107074;105436;102405
T4 Topkapı - Mescid-i Selam;4504569;4334937;5068088;4933625;4813403;4487164;4450029;4213374;4940371;5675254;5511119;5560963
F1 Taksim - Kabataş;387371;381604;478600;558239;415485;488550;550588;585649;558888;596682;517182;498085
TF2 Eyüp - Piyer Loti;101881;91362;104406;109805;113891;109047;22268;21666;36523;45340;37809;37061