Year;January;February;March;April;May;June;July;August;September;October;November;December;Total
2010;12594;20651;33958;36549;40467;42086;41399;42222;42477;47859;50061;99641;509784
2011;29868;39004;54023;54023;56302;56714;43518;38875;39964;47508;44951;88857;593519
2012;21077;29189;47270;45645;50460;50849;44531;41236;49360;44344;52297;80189;556280
2013;25835;36814;51785;56999;62383;58290;55712;51611;52925;51842;59480;110854;619395
2014;24368;27167;37812;42769;46379;47278;46802;45131;51854;58412;59165;110054;587337
2015;24498;40817;61676;70211;62878;67766;64218;45753;47087;92677;118430;110430;725938
2016;23358;40588;63975;65618;73832;71111;45566;53977;55964;64584;73690;108326;756938
2017;25689;34658;55516;57998;65799;66164;62384;56475;58636;73365;96445;113099;722759
2018;26611;35901;59798;55108;57227;41255;42024;26976;15796;16043;20894;26430;486321
2019;10979;19205;38628;24416;27126;36024;15398;15795;16604;20348;21831;46863;387250
2020;22016;37727;39887;21825;25073;57067;69427;43427;71296;43241;82934;100395;610109
2021;35358;44749;76357;48375;43138;62348;36311;44756;44386;43920;90325;84858;651853
2022;29020;37641;50173;45564;51750;64134;41031;23530;47701;44077;92744;97443;592821
2023;37288;58907;79226;77398;87418;91135;87416;86912;98421;92144;126416;129671;793147
2024;64041;82277;87071;61448;80260;87858;73396;69288;82134;95321;96438;120277;609548